,type,from,to,arcrole,order
87,arc,jppfs_cor_ComprehensiveIncomeAttributableToAbstract,jppfs_cor_ComprehensiveIncomeAttributableToNonControllingInterests,http://xbrl.org/int/dim/arcrole/domain-member,2
88,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember_2,http://xbrl.org/int/dim/arcrole/dimension-default,1
89,arc,jppfs_cor_ConsolidatedOrNonConsolidatedAxis,jppfs_cor_ConsolidatedMember,http://xbrl.org/int/dim/arcrole/dimension-domain,1
90,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_GainOnSalesOfInvestmentSecuritiesEI,http://xbrl.org/int/dim/arcrole/domain-member,1
91,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_CompensationIncomeEI,http://xbrl.org/int/dim/arcrole/domain-member,2
92,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_GainOnReversalOfSubscriptionRightsToSharesEI,http://xbrl.org/int/dim/arcrole/domain-member,3
93,arc,jppfs_cor_ExtraordinaryIncomeAbstract,tse-qcedjpfr-47260_SubsidiariesDirectorsRetirementAllowanceRepaymentGainEI,http://xbrl.org/int/dim/arcrole/domain-member,4
94,arc,jppfs_cor_ExtraordinaryIncomeAbstract,jppfs_cor_ExtraordinaryIncome,http://xbrl.org/int/dim/arcrole/domain-member,5
95,arc,jppfs_cor_ExtraordinaryLossAbstract,jppfs_cor_ImpairmentLossEL,http://xbrl.org/int/dim/arcrole/domain-member,1
96,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SubsidiaryCompanyHeadOfficeTransferCostEL,http://xbrl.org/int/dim/arcrole/domain-member,2
97,arc,jppfs_cor_ExtraordinaryLossAbstract,tse-qcedjpfr-47260_SalariesAndAllowanceForPriorPeriodsEL,http://xbrl.org/int/dim/arcrole/domain-member,3
98,arc,jppfs_cor_ExtraordinaryLossAbstract,jppfs_cor_ExtraordinaryLoss,http://xbrl.org/int/dim/arcrole/domain-member,4
99,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_InterestExpensesNOE,http://xbrl.org/int/dim/arcrole/domain-member,1
100,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_ContributionNOE,http://xbrl.org/int/dim/arcrole/domain-member,2
101,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_LossOnInvestmentsInPartnershipNOE,http://xbrl.org/int/dim/arcrole/domain-member,3
102,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_ForeignExchangeLossesNOE,http://xbrl.org/int/dim/arcrole/domain-member,4
103,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_CommissionFeeNOE,http://xbrl.org/int/dim/arcrole/domain-member,5
104,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_MiscellaneousLossNOE,http://xbrl.org/int/dim/arcrole/domain-member,6
105,arc,jppfs_cor_NonOperatingExpensesAbstract,jppfs_cor_NonOperatingExpenses,http://xbrl.org/int/dim/arcrole/domain-member,7
106,arc,jppfs_cor_StatementOfIncomeLineItems,jppfs_cor_NonOperatingIncomeAbstract,http://xbrl.org/int/dim/arcrole/domain-member,6
107,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_InterestIncomeNOI,http://xbrl.org/int/dim/arcrole/domain-member,1
108,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_DividendsIncomeNOI,http://xbrl.org/int/dim/arcrole/domain-member,2
109,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_EquityInEarningsOfAffiliatesNOI,http://xbrl.org/int/dim/arcrole/domain-member,3
110,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_GainOnInvestmentsInPartnershipNOI,http://xbrl.org/int/dim/arcrole/domain-member,4
111,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_SubsidyIncomeNOI,http://xbrl.org/int/dim/arcrole/domain-member,5
112,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_MiscellaneousIncomeNOI,http://xbrl.org/int/dim/arcrole/domain-member,6
113,arc,jppfs_cor_NonOperatingIncomeAbstract,jppfs_cor_NonOperatingIncome,http://xbrl.org/int/dim/arcrole/domain-member,7
114,arc,jppfs_cor_OtherComprehensiveIncomeAbstract,jppfs_cor_ValuationDifferenceOnAvailableForSaleSecuritiesNetOfTaxOCI,http://xbrl.org/int/dim/arcrole/domain-member,1
