,arc_role,loc_label,xlink_label
680,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesToTotalRevenuesRatioUS,label_IncomeBeforeIncomeTaxesToTotalRevenuesRatioUS_2
681,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUS,label_IncomeBeforeIncomeTaxesUS
682,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUS,label_IncomeBeforeIncomeTaxesUS_2
683,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUS,label_IncomeBeforeIncomeTaxesUS_3
684,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUS,label_IncomeBeforeIncomeTaxesUS_4
685,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUS,label_IncomeBeforeIncomeTaxesUS_5
686,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUS,label_IncomeBeforeIncomeTaxesUS_6
687,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUSAbstract,label_IncomeBeforeIncomeTaxesUSAbstract
688,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUSAbstract,label_IncomeBeforeIncomeTaxesUSAbstract_2
689,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUSAbstract,label_IncomeBeforeIncomeTaxesUSAbstract_3
690,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeIncomeTaxesUSAbstract,label_IncomeBeforeIncomeTaxesUSAbstract_4
691,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestCorrectionUSAbstract,label_IncomeBeforeMinorityInterestCorrectionUSAbstract
692,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestCorrectionUSAbstract,label_IncomeBeforeMinorityInterestCorrectionUSAbstract_2
693,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestCorrectionUSAbstract,label_IncomeBeforeMinorityInterestCorrectionUSAbstract_3
694,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestCorrectionUSAbstract,label_IncomeBeforeMinorityInterestCorrectionUSAbstract_4
695,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestCorrectionUSAbstract,label_IncomeBeforeMinorityInterestCorrectionUSAbstract_5
696,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestCorrectionUSAbstract,label_IncomeBeforeMinorityInterestCorrectionUSAbstract_6
697,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestForecastUSAbstract,label_IncomeBeforeMinorityInterestForecastUSAbstract
698,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestForecastUSAbstract,label_IncomeBeforeMinorityInterestForecastUSAbstract_2
699,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestToConsolidatedEquityRatioUS,label_IncomeBeforeMinorityInterestToConsolidatedEquityRatioUS
700,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestToConsolidatedEquityRatioUS,label_IncomeBeforeMinorityInterestToConsolidatedEquityRatioUS_2
701,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUS,label_IncomeBeforeMinorityInterestUS
702,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUS,label_IncomeBeforeMinorityInterestUS_2
703,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUS,label_IncomeBeforeMinorityInterestUS_3
704,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUS,label_IncomeBeforeMinorityInterestUS_4
705,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUS,label_IncomeBeforeMinorityInterestUS_5
706,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUS,label_IncomeBeforeMinorityInterestUS_6
707,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUSAbstract,label_IncomeBeforeMinorityInterestUSAbstract
708,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUSAbstract,label_IncomeBeforeMinorityInterestUSAbstract_2
709,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUSAbstract,label_IncomeBeforeMinorityInterestUSAbstract_3
710,http://www.xbrl.org/2003/arcrole/concept-label,IncomeBeforeMinorityInterestUSAbstract,label_IncomeBeforeMinorityInterestUSAbstract_4
711,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract
712,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract_2
713,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract_3
714,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract_4
715,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract_5
716,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesCorrectionUSAbstract_6
717,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesForecastUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesForecastUSAbstract
718,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesForecastUSAbstract,label_IncomeFromContinuingOperationsBeforeIncomeTaxesForecastUSAbstract_2
719,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesToNetSalesRatioUS,label_IncomeFromContinuingOperationsBeforeIncomeTaxesToNetSalesRatioUS
720,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesToNetSalesRatioUS,label_IncomeFromContinuingOperationsBeforeIncomeTaxesToNetSalesRatioUS_2
721,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalAssetsRatioUS,label_IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalAssetsRatioUS
722,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalAssetsRatioUS,label_IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalAssetsRatioUS_2
723,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalCapitalRatioUS,label_IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalCapitalRatioUS
724,http://www.xbrl.org/2003/arcrole/concept-label,IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalCapitalRatioUS,label_IncomeFromContinuingOperationsBeforeIncomeTaxesToTotalCapitalRatioUS_2
